Nombre;Especie;Raza;Sexo;Edad_Años;Peso;Tamaño;Color_Pelaje;Apto_Con;Condicion_Especial;Desparasitado;Esterilizado;Con_Microchip;Vacunado;Adoptado;Caracter_Necesidad;Historia_Breve;Biografia_Final
LOLA;Perro;Yorkshire Terrier;Hembra;11;4.5;Pequeño;Negro y Fuego, Pelo Largo;Mimos Constantes,Paseos Muy Cortos,Control Veterinario Cardíaco,Casa Interior;Insuficiencia Cardíaca Congestiva;Sí;Sí;Sí;Sí;No;Ultra-Senior,Faldera,Dulce,Lenta,Tranquila,Afectiva,Baja Resistencia;Lola fue entregada tras el fallecimiento de su dueña. Es una perrita muy anciana con una condición cardíaca que requiere medicación y chequeos constantes. Es muy mimosa.;Lola es una Yorkshire senior de corazón tierno y alma apacible. Pasa la mayor parte del tiempo durmiendo acurrucada en el sofá o en el regazo de su humano. Padece Insuficiencia Cardíaca Congestiva, por lo que necesita un protocolo estricto de medicación y control veterinario para mantener su calidad de vida. Sus paseos son muy cortos y busca un hogar tranquilo y estable donde los mimos sean la única exigencia. Es la compañera perfecta para quienes buscan un amor incondicional y sosegado.
PULGAR;Gato;Europeo;Macho;2;5.0;Mediano;Blanco y Negro (Tuxedo), Pelo Corto;Muchos Juguetes,Interacción Constante,Casa Interior/Exterior Controlado,Rascar de Calidad;Polidactilia (Dedos Extra);Sí;Sí;Sí;Sí;No;Polidáctilo,Juguetón,Curioso,Amigable,Manitas,Trepador,Sociable;Pulgar es un gato muy social y afectuoso, conocido por tener dedos extra en sus patas delanteras (polidactilia), lo que le da un aspecto peculiar y una habilidad extra para agarrar.;Pulgar es un gato joven y muy extrovertido que usa sus 'manitas' extra (debido a la Polidactilia) para explorar, jugar y, ocasionalmente, intentar abrir puertas. Es extremadamente sociable, busca activamente la interacción humana y es muy juguetón. Es apto para convivir con niños y perros tranquilos. Es el compañero ideal para una familia activa que aprecie su naturaleza curiosa y juguetona, y que le proporcione rascadores y juguetes desafiantes.
HERA;Perro;Labrador/Pastor Alemán;Hembra;2;30;Grande;Negro, Pelo Corto;Obediencia,Entrenamiento Consistente,Dueños Activos,Socialización Continua,Hogar con Jardín;No;Sí;Sí;Sí;Sí;No;Enérgica,Lista,Fuerte,Obediente,Juguetona,Guardiana (Instinto),Leal;Hera es una mezcla poderosa de razas de trabajo y necesita mucha estructura y ejercicio. Es una perra muy obediente si se le dan las pautas correctas, pero puede volverse destructiva si se aburre.;Hera es una perra joven, fuerte y con una inteligencia notable. Posee la lealtad del Pastor y el entusiasmo juguetón del Labrador, lo que la convierte en una candidata ideal para el adiestramiento. Requiere un dueño activo y firme que pueda proporcionarle ejercicio intenso y, crucialmente, trabajo mental constante (como deportes caninos o entrenamiento de obediencia avanzado). No es apta para la vida sedentaria. Es sociable y afectuosa, pero su alto nivel de energía exige que su familia esté tan comprometida como ella.
BORO;Gato;Persa/Maine Coon;Macho;6;6.5;Grande;Atigrado Gris, Pelo Largo y Denso;Cepillado Diario,Casa Interior,Hogar Silencioso,Sin Niños Pequeños (Por timidez);No;Sí;Sí;Sí;Sí;No;Grande,Tímido,Tranquilo,Observador,Afectivo (Conocidos),Lento,Bajo Estrés;Boro fue encontrado con el pelo muy anudado, indicando falta de cuidado. Es un gato de gran tamaño, muy tímido al principio, pero cariñoso cuando coge confianza.;Boro es un gato de tamaño imponente con un corazón gentil, aunque muy tímido. Necesita un hogar silencioso y paciente, preferiblemente sin niños pequeños o ruidos fuertes, ya que necesita tiempo para adaptarse. Su hermoso pelaje largo y denso exige un cepillado diario para evitar nudos y matas. Una vez que te ganas su confianza, Leo es extremadamente dulce, tranquilo y disfruta de la presencia de su humano en la misma habitación, convirtiéndose en el compañero perfecto para la vida de apartamento.
KALY;Perro;Border Collie/Mestizo;Macho;1;20;Mediano;Negro y Blanco, Pelo Semilargo;Deporte Canino (Agility/Flyball),Dueños Activos y Consistentes,Refuerzo Positivo Exclusivo,Sin Primerizos (Por sensibilidad);No;Sí;Sí;Sí;Sí;No;Joven,Hiperactivo,Inteligente,Sensible,Ansioso (Sin Trabajo),Necesita Misión,Ágil;Kaly es un perro muy inteligente y enérgico que se aburre con facilidad, lo que le provoca ansiedad y comportamientos destructivos si no se le estimula correctamente.;Kaly es un perro joven y extremadamente brillante que necesita que su mente y cuerpo estén constantemente ocupados. Posee una sensibilidad muy alta y, sin una "misión" diaria, desarrolla ansiedad. Necesita un dueño activo y consistente que lo introduzca en deportes caninos como Agility o Flyball para canalizar su inmensa energía y concentración. No es apto para un hogar sedentario. Con el adiestramiento y el trabajo correctos, es un compañero leal y altamente motivado.
SOMBRA;Gato;Europeo;Hembra;3;3.8;Mediano;Negro Sólido, Pelo Corto;Hogar Tranquilo,Sin Contacto Físico Forzado,Espacio para Esconderse,Adopción como Gato de Granero/Patio (Ideal);Timidez Extrema (No Sociable);Sí;Sí;Sí;Sí;No;Asustadiza,Tímida,Salvaje (Actitud),Independiente,Observadora,Gato de Granero;Sombra es una gata feral rescatada de una colonia. Aunque lleva tiempo en el refugio, sigue siendo extremadamente tímida y no tolera el contacto humano.;Sombra es una gata dulce y adaptable que, a pesar de su Timidez Extrema, lleva una vida sorprendentemente normal. Es muy cariñosa y se orienta perfectamente en espacios familiares, por lo que necesita un hogar 100% interior donde los muebles se mantengan estables. Confía mucho en sus humanos y busca una familia paciente que le ofrezca un entorno tranquilo y seguro. Una vez que memoriza su espacio, es juguetona y extremadamente afectiva.
LILO Y STITCH;Perro;Podenco;Hembra (Lilo) y Macho (Stitch);3;13;Mediano;Marrón,Blanco, Pelo Corto;Adopción Conjunta Obligatoria,Dueños Activos (Caza/Paseos Largos),Jardín Cercado,Hogar Sin Gatos;No;Sí;Sí;Sí;Sí;No;Podencos,Hermanos,Inseparables,Tímidos (Inicialmente),Olfateadores,Juguetones,Activos;Lilo y Stitch son hermanos que han vivido toda su vida juntos. Están profundamente unidos y se refugian el uno en el otro, por lo que su separación está totalmente descartada.;Lilo y Stitch son dos podencos hermanos con un vínculo inquebrantable que exige la Adopción Conjunta Obligatoria. Son perros activos, curiosos y disfrutan enormemente de la exploración y el juego mutuo. Inicialmente son tímidos con los extraños, pero se relajan rápidamente cuando están juntos. Necesitan un hogar con un jardín bien cercado y dueños que comprendan su instinto de olfato y les proporcionen paseos largos y estimulantes. Son la pareja perfecta para duplicar la alegría y la lealtad en casa.
SAKURA;Gato;Scottish Fold;Hembra;4;4.5;Mediano;Blanco y Gris (Bicolor), Pelo Corto;Mimos Constantes,Interacción Lenta (No Cargar),Hogar Interior;No;Sí;Sí;Sí;Sí;No;Scottish,Tranquila,Observadora,Dulce,Posesiva (Juguetes),Compañera;Sakura es una gata de raza mezclada, famosa por su dulzura y por estar siempre cerca de las personas, aunque prefiere no ser cargada.;Sakura es una gata de temperamento tranquilo y muy dulce, que disfruta de ser la compañera constante de sus humanos (a menudo sentada cerca, pero no necesariamente encima). Le encanta observar el mundo desde ventanas y participar en juegos moderados. Es importante que su familia respete que prefiere que el afecto sea en sus términos y que no la carguen. Es una presencia calmante e ideal para un hogar tranquilo que busque una compañera de vida elegante y afectiva.
BALÚ;Perro;Golden Retriever;Macho;9;30;Grande;Dorado, Pelo Largo;Casa de una Planta (Ideal),Caminatas Suaves (Sin Saltos),Medicación Diaria,Compañía Constante;Displasia de Cadera (Manejada);Sí;Sí;Sí;Sí;No;Senior,Tranquilo,Amigable,Faldero,Dulce,Baja Resistencia,Comilón;Balú es un Golden senior que se lleva bien con todos. Debido a su edad y tamaño, ha desarrollado una Displasia de Cadera que se controla con medicamentos y ejercicio suave.;Balú es el compañero ideal: un Golden senior, dulce, tranquilo y con un corazón enorme que adora estar cerca de su familia. Es excelente con niños y otros animales. Padece Displasia de Cadera (Manejada), lo que implica caminatas cortas y suaves y la necesidad de continuar con su medicación. Idealmente, busca un hogar de una sola planta para minimizar el esfuerzo en sus articulaciones. Es la definición de lealtad y afecto tranquilo.
PITI;Gato;Europeo;Hembra;0;1.5;Pequeño;Atigrado Gris y Blanco, Pelo Corto;Compañía Felina Joven (Necesaria para Socialización),Juegos Constantes,Hogar a Prueba de Cachorros,Introducción Lenta a Perros;No;Si;No;No;Si;No;Cachorro,Juguetona,Curiosa,Enérgica,Necesita Socializar,Inocente,Aprendiendo;Piti es la única sobreviviente de su camada, por lo que necesita ser socializada con otros gatos para aprender límites y comportamiento felino adecuado.;Piti es una gatita de 3 meses, llena de energía y ganas de descubrir el mundo. Es vital que sea adoptada en un hogar donde ya exista un gato joven y sociable o que sea adoptada junto a otro cachorro. Necesita aprender los límites del juego y la comunicación felina, un proceso conocido como Socialización Felina, que solo se da con sus congéneres. Es muy juguetona y cariñosa, ideal para una familia que entienda la importancia de su desarrollo conductual. Se deberá esterilizar y poner chip al alcanzar la edad adecuada.
CHICO;Perro;Chihuahua/Pincher;Macho;5;3.5;Pequeño;Negro y Canela, Pelo Corto;Dueños Experimentados (Manejo de Perro Pequeño),Sin Perros Grandes,No Aptos para Parques Caninos,Refuerzo de Límites Constante;Reactividad (Hacia Perros Grandes);Sí;Sí;Sí;Sí;No;Terrier,Alerta,Demandante (Atención),Reactivo (Perros Grandes),Inteligente,Faldero,Juguetón;Chico es un perro pequeño con una gran personalidad. Su reactividad hacia perros grandes se debe a la inseguridad y a la falta de límites. Es muy mimoso en casa.;Chico es un perro pequeño pero con mucha personalidad. Es extremadamente leal, faldero y disfruta de la atención constante. Sin embargo, sufre de Reactividad (Hacia Perros Grandes) debido a la inseguridad, lo que se traduce en ladridos y nerviosismo en la calle. Necesita un dueño con experiencia en el manejo de perros pequeños y que se comprometa a establecer límites firmes y positivos. No es apto para parques caninos ni para convivir con perros mucho más grandes. Con la estructura adecuada, es un compañero divertido y cariñoso.
INO;Gato;Europeo;Hembra;12;5.5;Mediano;Atigrado Marrón y Blanco, Pelo Corto;Dueños Experimentados (Inyecciones de Insulina),Dieta Estricta,Rutinas Fijas,Control Veterinario Trimestral;Diabetes Felina;Sí;Sí;Sí;Sí;No;Ultra-Senior,Dulce,Paciente (Procedimientos),Necesita Rutina,Lenta,Observadora;Ino es una gata mayor que fue diagnosticada con Diabetes Felina. Es muy dócil y se deja manipular para las inyecciones de insulina, pero necesita un hogar comprometido.;Ino es una gata senior, increíblemente dulce y tranquila, que solo pide un lugar cálido para descansar. Padece Diabetes Felina, una condición que requiere un compromiso de por vida: dieta estricta, rutinas fijas y administración de insulina diaria mediante inyección subcutánea. Es muy paciente y colabora con el proceso. Es ideal para dueños con experiencia médica o con el tiempo y la dedicación para aprender este cuidado esencial. A cambio, ofrece la compañía más afectuosa y sosegada.
LAITO;Perro;Rottweiler/Mastín;Macho;4;55;Grande;Negro y Canela, Pelo Corto;Dueños con Experiencia en Razas Fuertes,Sin Niños Pequeños,Sin Perros Machos,Jardín Grande y Cercado;No;Sí;Sí;Sí;Sí;No;Fuerte,Protector,Imponente,Desconfiado (Extraños),Leal,Necesita Liderazgo,Maduro;Laito es un perro con un pasado de abandono, lo que ha reforzado su instinto de protección. Es imponente y muy leal, pero necesita un manejo firme y experimentado, ya que desconfía profundamente de los extraños.;Laito es un perro de gran tamaño y corazón, que necesita una persona con experiencia y mano firme. Su instinto guardián es muy fuerte. Es desconfiado con extraños y debe ser introducido a cualquier visita bajo control. Es absolutamente leal y afectuoso con su familia, pero su potencia y carácter requieren dueños que entiendan la necesidad de liderazgo calmado y constante. No es apto para principiantes, hogares con niños pequeños, ni para convivir con otros perros machos debido a su dominancia.
MÍA;Gato;Siamés/Europeo;Hembra;3;3.5;Mediano;Atigrado Crema (Muted Point), Pelo Corto;Mimos Constantes,Respuestas a la Comunicación Vocal,Hogar Exclusivo (Ideal),Dueños Presentes;No;Sí;Sí;Sí;Sí;No;Habladora,Demandante (Atención),Faldera,Cariñosa,Juguetona,Expresiva,Diva;Mía fue encontrada sola y demostró inmediatamente ser una gata muy comunicativa. Es extremadamente afectuosa, pero muy vocal si siente que la ignoran.;Mía es una gata con mucha personalidad y mucho que "decir". Es conocida por ser muy habladora y usará su repertorio vocal para exigir mimos y atención. Es una auténtica faldera, siempre buscando el contacto humano. Debido a su necesidad de ser el centro de atención, sería ideal para un hogar donde pueda ser el único animal o con dueños que pasen mucho tiempo en casa. Es la compañera ideal para quienes disfrutan de un gato que interactúe constantemente.
PIRU;Perro;Pomerania/Mestizo;Macho;8;5.0;Pequeño;Crema, Pelo Largo y Denso;Mimos Constantes,Paseos con Arnés (Nunca Collar),Control Veterinario Respiratorio,Sin Ruidos Fuertes;Colapso Traqueal;Sí;Sí;Sí;Sí;No;Senior,Faldero,Ladrador (Aviso),Cariñoso,Lento (Paseos),Necesita Calma;Piru fue rescatado de una casa con muchos perros. Es muy dulce y busca el regazo, pero sufre de una traquea sensible que requiere cuidados especiales.;Piru es un pequeño Pomerania senior de carácter afectuoso y faldero, que ha encontrado en el regazo humano su lugar favorito. Sin embargo, requiere cuidados especiales debido a su Colapso Traqueal. Esto significa que solo debe pasear con arnés (el collar está prohibido) y necesita evitar el sobreesfuerzo y la excitación extrema. Busca un hogar tranquilo y estable donde se le pueda ofrecer la calma y el cariño que necesita para vivir una vida plena y cómoda.
TIGRE;Gato;Europeo;Macho;4;5.0;Mediano;Atigrado Marrón (Mackerel), Pelo Corto;Hogar Interior Exclusivo,Sin Gatos FIV Negativos,Compañía Felina (Ideal),Mimos Largos;FIV Positivo;Sí;Sí;Sí;Sí;No;Amigable,Ronroneador,Juguetón,Activo,FIV+,Lento (Adaptación),Curioso;Tigre es un gato sociable, pero dio positivo a FIV (Inmunodeficiencia Felina). Es dócil y no tiene problemas de salud visibles, pero necesita vivir con otros gatos FIV+ o ser hijo único.;Tigre es un gato de actitud muy sociable y afectuosa que adora los mimos largos y jugar con plumeros. Es FIV Positivo, lo que requiere que viva en un hogar 100% interior para protegerle a él y a la comunidad. Puede convivir sin riesgo con otros gatos que también sean FIV+, o puede ser el rey de un hogar sin otros felinos. Es un gato sano, juguetón y lleno de vida que está esperando una familia que mire más allá de su condición y se centre en su personalidad maravillosa.
HULK;Perro;Pitbull/Staffy;Macho;3;28;Mediano/Grande;Atigrado, Pelo Corto;Dueños con Experiencia en la Raza,Liderazgo Calmado,Adiestramiento Continuo,Hogar Sin Perros Dominantes;No;Sí;Sí;Sí;Sí;No;Fuerte,Tostón,Cariñoso,Leal,Obediente (Con Límites),Juguetón (Brusco),Velcro;Hulk es un perro musculoso, muy juguetón y cariñoso, que fue abandonado debido a su aspecto. Necesita que se le dé la oportunidad de demostrar su naturaleza noble.;Hulk es un "tostón" con cuerpo de Pitbull/Staffy: poderoso, lleno de energía, y obsesionado con los mimos. A pesar de su apariencia, es un perro profundamente sensible y cariñoso con los humanos, un verdadero "perro velcro" en casa. Necesita un dueño que sea un líder calmado y firme y que comprenda las necesidades de la raza en cuanto a ejercicio, socialización y límites claros. Por su fuerza y estilo de juego, es ideal para dueños sin niños muy pequeños. Es la oportunidad perfecta para desmentir los mitos sobre la raza.
ARTEMISA;Gato;Europeo;Hembra;7;4.2;Mediano;Tricolor/Calicó, Pelo Corto;Independencia,Casa Interior/Exterior Controlado,Cama Cómoda,Respeto por el Espacio Personal;No;Sí;Sí;Sí;Sí;No;Independiente,Tranquila,Observadora,Caza (Instinto),Madura,Baja Demanda (Afecto);Artemisa es una gata madura que valora la tranquilidad. Fue encontrada en la calle y es totalmente autosuficiente. Le gusta la compañía a distancia.;Artemisa es una gata independiente y madura que valora la tranquilidad y el respeto por su espacio personal. No es una faldera, pero siempre estará cerca, observando el mundo desde su cama favorita. Es ideal para personas con un estilo de vida ocupado que desean la presencia calmante de un felino sin la demanda constante de atención. Es tranquila, limpia y la compañera perfecta para un hogar que respete su autosuficiencia.
MANU;Perro;Jack Russell Terrier;Macho;2;8;Pequeño;Blanco,Marrón, Pelo Corto;Dueños Deportistas/Activos,Juegos de Caza/Olfato,Adiestramiento Positivo (Avanzado),Hogar con Jardín;No;Sí;Sí;Sí;Sí;No;Terrier,Inagotable,Curioso,Caza (Instinto),Inteligente,Excavador,Juguetón,Necesita Ejercicio;Manu fue abandonado porque su familia no pudo manejar su altísimo nivel de energía. Es un Terrier típico: vivaz, rápido y muy inteligente.;Manu es la definición de la energía Terrier: un perro pequeño pero con un motor inagotable. Es extremadamente inteligente, ama los juegos de olfato y es un campeón en el patio, aunque su instinto de excavación es fuerte. Necesita un dueño muy activo que lo integre en largas caminatas, carreras o incluso deportes caninos para canalizar su vivacidad. No es apto para personas sedentarias. Con la estimulación física y mental adecuada, Manu es un compañero hilarante, leal y lleno de alegría.
KLEO;Gato;Sphynx;Hembra;5;4.0;Mediano;Rosa Pálido/Gris, Sin Pelo (Parcialmente);Mantenimiento de Piel (Limpieza),Ambiente Cálido (Sin Corrientes de Aire),Mimos Constantes,Hogar Interior Exclusivo;No;Sí;Sí;Sí;Sí;No;Única (Piel),Afectuosa,Buscadora de Calor,Faldera,Demandante (Atención),Curiosa,Sociable;Kleo es una gata parcialmente sin pelo, lo que le da un aspecto muy llamativo. Su falta de pelaje la hace muy buscadora de calor y mimos.;Kleo es una gata cariñosa y única en su especie. Su piel suave, debido a su cruce de Sphynx, la hace extremadamente buscadora de calor, por lo que siempre estará envuelta en mantas o acurrucada en tu regazo. Requiere un mantenimiento de piel y un ambiente cálido sin corrientes de aire. Es muy sociable y demanda afecto constante, maullando suavemente hasta que consigue un espacio bajo las sábanas o junto a un radiador. Ideal para amantes de los gatos que puedan dedicar tiempo a su cuidado y mimos.
ALASKA;Perro;Husky/Malamute;Hembra;1;25;Grande;Gris y Blanco, Pelo Denso;Dueños Expertos en la Raza,Mucho Ejercicio (Carrera),Vallas Altas y Seguridad Extrema,Socialización;No;Sí;Sí;Sí;Sí;No;Joven,Enérgica,Vocal,Tiradora (Paseo),Escapista (Experta),Curiosa,Inteligente,Juguetona;Alaska es una mezcla de razas nórdicas, extremadamente hermosa pero con una energía inmensa y un fuerte impulso de escapar.;Alaska es una perra joven con la belleza y el desafío de las razas nórdicas. Posee una energía extrema e inagotable y un fuerte instinto de escape: su hogar necesita vallas altas, seguras y vigilancia constante. Es vocal, comunicándose a través de aullidos y ladridos, y necesita carreras diarias o un trabajo que la mantenga ocupada. Es apta para dueños con experiencia en la raza y que busquen una compañera de deporte. Con el manejo adecuado, es una perra leal y muy cariñosa.
YAYO;Gato;Europeo;Macho;15;4.5;Mediano;Blanco,Manchas,Crema, Pelo corto;Hogar Tranquilo y Silencioso,Compañía Constante,Supervisión (Por Sordera),Respeto por el Sueño;Sordera (Sénior);Sí;Sí;Sí;Sí;No;Ultra-Senior,Sordo,Dócil,Dormilón,Mimoso,Paciente,Necesita Calma;Yayo es un gato senior de 15 años que quedó sordo hace unos meses. Es extremadamente dulce y faldero, y busca una jubilación tranquila.;Yayo es un gato senior de 15 años que ha alcanzado la jubilación y busca un hogar tranquilo y amoroso para pasar sus últimos años. Es sordo (condición sénior), lo que le hace dependiente de su vista y sentido del tacto. Necesita un hogar silencioso y sin cambios bruscos de entorno. Es muy dócil, disfruta de la compañía en el sofá y se despierta con suaves caricias. Es ideal para una persona o pareja mayor que valore la calma y la dulzura de un compañero veterano.
WALLY;Perro;Pastor Australiano/Border Collie;Macho;2;22;Mediano;Merle Azul, Pelo Semilargo;Entrenamiento de Obediencia Avanzado,Deportes Caninos (Pastoreo o Agility),Dueños Muy Activos,Estimulación Mental Diaria;No;Sí;Sí;Sí;Sí;No;Enérgico,Inteligente,Sensible,Necesita Estructura,Joven,Leal,Trabajador;Wally fue entregado por sus dueños al no poder manejar su extrema inteligencia y nivel de energía. Es un perro que necesita desesperadamente un trabajo o un deporte.;Wally es un perro extraordinariamente inteligente con un deseo innato de trabajar. Su cruce de pastoreo requiere una vida más allá de paseos cortos. Necesita ejercicio intenso y, crucialmente, entrenamiento mental avanzado como Agility, Odor Detection (detección de olores) o, idealmente, pastoreo. Es muy sensible a las emociones de sus humanos y prospera con rutinas y estructura firme. No es un perro para dueños primerizos o sedentarios, sino para aquellos que quieran formar un equipo con su perro.
CHEETO;Gato;Europeo;Macho;6;6;Grande;Atigrado Naranja/Rojo, Pelo Corto;Acceso Exterior Seguro (Jardín),Comida Estricta (Tendencia a engordar),Dueños que Respeten Liderazgo Felino;No;Sí;Sí;Sí;Sí;No;Naranja,Comilón,Mandón (Bossy),Seguro de Sí Mismo,Cazador (Instinto),Social (En Sus Términos),Tranquilo (Si Satisfecho);Cheeto es el macho dominante del refugio. Es grande, muy seguro de sí mismo y, como muchos gatos naranjas, tiene un apetito insaciable y una personalidad de "jefe".;Cheeto es un gato grande, de color naranja clásico y con una personalidad de "jefe". Es muy seguro de sí mismo, sociable (en sus términos) y exige el liderazgo en el hogar. Es un cazador nato y necesita obligatoriamente acceso seguro al exterior (jardín o patio cercado) para explorar y quemar energía. Debido a su apetito constante, necesita una familia comprometida con una dieta estricta para evitar el sobrepeso. Es un compañero leal y divertido para quienes aprecian a un gato con carácter fuerte.
ATLAS;Perro;Labrador,Pastor Alemán;Macho;6;35;Grande;Negro Sólido, Pelo Corto;Adiestramiento Continuo,Ejercicio Vigoroso Diario,Hogar sin Roedores (Alto Instinto de Presa),Dueños Experimentados;No;Sí;Sí;Sí;Sí;No;Fuerte,Obediente,Necesita Ejercicio,Protector,Inteligente,Juguetón (Pelota),Maduro;Atlas es un cruce de trabajo grande que necesita mucha estimulación. Es muy obediente pero requiere liderazgo constante.;Atlas es un perro grande, leal y con una inteligencia excepcional que necesita un "trabajo" para ser feliz. Requiere ejercicio vigoroso diario y un adiestramiento constante para mantener su mente activa. Es extremadamente leal a su familia, pero puede ser reservado con extraños, por lo que necesita un dueño que maneje con firmeza sus presentaciones. No es apto para hogares con roedores pequeños debido a su fuerte instinto de presa. Es un compañero increíble para un líder dedicado.
LALY;Gato;Europeo;Hembra;1;3.8;Mediano;Negro,Blanco, Pelo Corto;Mucha Paciencia,Hogar Sin Niños,Sin Ruido,Cuarto de Seguridad Inicial,Dueños Experimentados en Gatos Tímidos;Timidez Extrema;Sí;Sí;Sí;Sí;No;Tímida,Asustadiza,Miedosa,Necesita Esconderse,Observadora,Joven (Requiere Juego);Laly fue rescatada de una colonia y tiene mucho miedo a los humanos. Es joven y necesita una familia que la ayude a socializar lentamente.;Laly es una gata joven y hermosa con un problema de Timidez Extrema. En el fondo, es juguetona y curiosa, pero su miedo la obliga a esconderse al menor ruido o movimiento. Necesita un hogar sin niños pequeños, muy tranquilo y dueños con gran paciencia que le permitan marcar el ritmo de la socialización, quizás usando un cuarto de seguridad para empezar. Es una candidata perfecta para dueños que se sientan recompensados con pequeños avances de confianza.
PEPPER y SAL;Perro;Bodeguero Andaluz/Pincher;Macho (P) y Hembra (S);6;6;Pequeño;Tricolor, Pelo Corto (P)/ Negro y Canela, Pelo Corto (S);Adopción Conjunta Obligatoria,Hogar Tranquilo,Paseos Cortos,Mimos Constantes;Dependencia Emocional (Dúo);Sí;Sí;Sí;Sí;No;Duo,Mimosos,Inseparables,Tranquilos,Leales,Dependientes,Seniors;Pepper y Sal son un dúo que fue rescatado junto tras el fallecimiento de su dueña. Son inseparables y se apoyan mutuamente.;Pepper y Sal son un dúo encantador e inseparable que buscan un hogar de "jubilación" juntos. Pepper (macho, 7 años) es el más grande y protector, mientras que Sal (hembra, 6 años) es más tímida pero la faldera principal. Su Dependencia Emocional (Dúo) requiere que sean adoptados juntos, ya que se ponen extremadamente ansiosos si se separan. Son tranquilos, ideales para una vida en apartamento y solo necesitan paseos suaves y, sobre todo, un sofá donde acurrucarse juntos.
JASPER;Gato;Siamés,Europeo;Macho;0;2.5;Pequeño;Seal Point, Pelo Corto;Juegos Dirigidos (Intensivos),Estimulación Mental,Hogar a Prueba de Cachorros,Puede Convivir con Otros Gatos;No;Sí;Sí;Sí;Sí;No;Cachorro,Juguetón,Curioso,Vocal,Enérgico,Inquieto,Social;Jasper es un gatito muy activo y vocal, con la curiosidad típica de su edad y cruce. Necesita mucho juego para evitar aburrimiento.;Jasper es un gatito de 6 meses con la energía y la voz de un Siamés. Es extremadamente juguetón, vocal y curioso, y necesita dueños que se comprometan a darle varias sesiones de juego dirigido al día para satisfacer su alta demanda de actividad. Si se aburre, tiende a ser inquieto y a meterse en problemas. Es un cachorro muy social, disfruta de la compañía humana y felina. Es el compañero perfecto para quienes buscan un gato con personalidad y chispa.
MAXIMUS;Perro;Mastín/Gran Danés;Macho;9;65;Gigante;Atigrado Gris, Pelo Corto;Hogar Sin Escaleras,Suelos Antideslizantes,Suplementos Articulares,Cama Ortopédica,Paseos Muy Cortos;Displasia de Cadera (Senior);Sí;Sí;Sí;Sí;No;Gigante,Tranquilo,Mimoso,Senior,Lento,Pacífico,Dormilón,Noble;Maximus es un gigante gentil que pasó su vida atado. Es extremadamente noble y cariñoso, pero su edad y tamaño le causan problemas de cadera.;Maximus es un "gigante noble" con el corazón de un cachorro. Es tranquilo, pacífico y su mayor placer es dormir en una cama cómoda. Debido a su tamaño y edad, sufre de Displasia de Cadera (Senior), lo que hace imprescindible un hogar sin escaleras y con suelos que no sean resbaladizos. Necesita paseos muy lentos y cortos. Busca un dueño que entienda las necesidades de un perro gigante sénior y le ofrezca un lugar tranquilo y mucho cariño para su jubilación.
FINA;Gato;Europeo;Hembra;3;4.0;Mediano;Negro Sólido, Pelo Corto;Adopción para Establo/Granero/Nave,Sin Exigencia de Contacto,Comida y Refugio Constantes,Control de Roedores;Semiferal (No Doméstica);Sí;Sí;Sí;Sí;No;Semiferal,Cautelosa,Cazadora (Excelente),Independiente,No Tocable,Tranquila (A Distancia);Fina es una gata capturada en una colonia. Es semiferal, no se deja tocar, pero es una excelente cazadora y necesita un lugar de trabajo (granero/nave).;Fina es una gata semiferal que no está lista (y quizás nunca lo esté) para la vida doméstica como mascota de regazo. Es una excelente cazadora y necesita un hogar tipo granja, establo o almacén donde pueda vivir libremente mientras mantiene a raya a los roedores. Requerirá que se le provea comida, agua y un refugio seguro a diario, pero no se dejará tocar ni requerirá atención humana. Es la solución perfecta para un problema de plagas y una oportunidad de darle una vida mejor a un gato no apto para la adopción tradicional.
NOBY;Perro;Beagle,Terrier;Macho;5;14;Mediano;Negro, Blanco, Marrón, Tricolor, Pelo Corto;Juegos de Olfato (Mandatorio),Correas Largas o Jardín Cercado (Instinto de Caza),Apto para Perros y Niños;No;Sí;Sí;Sí;Sí;No;Olfateador,Amigable,Cabezota (A veces),Glotón,Activo (Moderado),Juguetón,Social;Noby es un cruce de Beagle con un olfato muy desarrollado y una personalidad muy dulce. Fue encontrado vagando solo.;Noby es un perro de tamaño mediano con el encanto de un Beagle: glotón, amigable y con la nariz pegada al suelo. Su poderosa nariz requiere juegos de olfato diarios (sniffing games) y paseos siempre con correa, ya que su instinto cazador puede hacerle seguir un rastro ignorando las llamadas. Es sociable con otros perros y niños, aunque es un poco cabezota a la hora de obedecer si hay comida o un olor interesante cerca. Es el compañero perfecto para quienes buscan un perro feliz y juguetón.
